timestamp,origin,destination,departure_date,return_date,trip_length_days,cabin_class,passengers,lowest_price_mxn,airline,stops,duration,url
2026-05-23 14:42:34,GDL,CDG,2026-09-01,2026-09-08,7,business,1,68329,Aeromexico,1 stop,17 hr 50 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20CDG%20on%202026-09-01%20returning%202026-09-08%20business%20class%201%20passenger
2026-05-23 14:43:00,GDL,CDG,2026-09-01,2026-09-09,8,business,1,73445,Aeromexico,1 stop,14 hr 22 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20CDG%20on%202026-09-01%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-23 14:43:25,GDL,CDG,2026-09-02,2026-09-09,7,business,1,87545,Aeromexico,1 stop,14 hr 43 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20CDG%20on%202026-09-02%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-23 14:43:51,GDL,CDG,2026-09-02,2026-09-10,8,business,1,69349,Aeromexico,1 stop,16 hr 8 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20CDG%20on%202026-09-02%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-23 14:44:17,GDL,CDG,2026-09-03,2026-09-10,7,business,1,87545,Aeromexico,1 stop,14 hr 22 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20CDG%20on%202026-09-03%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-23 14:44:43,GDL,EDI,2026-09-01,2026-09-08,7,economy,1,35479,Air France,1 stop,16 hr 9 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20EDI%20on%202026-09-01%20returning%202026-09-08%20economy%20class%201%20passenger
2026-05-23 14:45:09,GDL,EDI,2026-09-01,2026-09-09,8,economy,1,35479,United,1 stop,16 hr 9 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20EDI%20on%202026-09-01%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-23 14:46:51,GDL,EDI,2026-09-01,2026-09-08,7,business,1,136408,Aeromexico,1 stop,16 hr 9 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20EDI%20on%202026-09-01%20returning%202026-09-08%20business%20class%201%20passenger
2026-05-23 14:47:17,GDL,EDI,2026-09-01,2026-09-09,8,business,1,136408,Aeromexico,1 stop,16 hr 9 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20EDI%20on%202026-09-01%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-23 14:49:00,GDL,MAD,2026-09-01,2026-09-08,7,economy,1,18538,Iberia,1 stop,18 hr 5 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-01%20returning%202026-09-08%20economy%20class%201%20passenger
2026-05-23 14:49:25,GDL,MAD,2026-09-01,2026-09-09,8,economy,1,18538,Iberia,1 stop,18 hr 5 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-01%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-23 14:49:51,GDL,MAD,2026-09-02,2026-09-09,7,economy,1,19030,Iberia,1 stop,18 hr 41 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-02%20returning%202026-09-09%20economy%20class%201%20passenger
2026-05-23 14:50:17,GDL,MAD,2026-09-02,2026-09-10,8,economy,1,19030,Iberia,1 stop,18 hr 41 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-02%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-23 14:50:43,GDL,MAD,2026-09-03,2026-09-10,7,economy,1,18850,Iberia,1 stop,18 hr 41 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-03%20returning%202026-09-10%20economy%20class%201%20passenger
2026-05-23 14:51:08,GDL,MAD,2026-09-01,2026-09-08,7,business,1,72535,Aeromexico,1 stop,14 hr 20 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-01%20returning%202026-09-08%20business%20class%201%20passenger
2026-05-23 14:51:34,GDL,MAD,2026-09-01,2026-09-09,8,business,1,72283,Aeromexico,1 stop,14 hr 20 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-01%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-23 14:52:00,GDL,MAD,2026-09-02,2026-09-09,7,business,1,63271,Aeromexico,1 stop,26 hr 36 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-02%20returning%202026-09-09%20business%20class%201%20passenger
2026-05-23 14:52:26,GDL,MAD,2026-09-02,2026-09-10,8,business,1,63271,Aeromexico,1 stop,26 hr 36 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-02%20returning%202026-09-10%20business%20class%201%20passenger
2026-05-23 14:52:51,GDL,MAD,2026-09-03,2026-09-10,7,business,1,63271,Aeromexico,1 stop,14 hr 20 min,https://www.google.com/travel/flights?q=Flights%20from%20GDL%20to%20MAD%20on%202026-09-03%20returning%202026-09-10%20business%20class%201%20passenger
